patent_citing;organization_citing;patent_cited;university_cited
7488807;3M Innovaive Properties Company;6841154;Universita' Degli Studi di Pavia
8680106;AbbVic Inc.;7608600;Universita' Degli Studi di Cagliari
8969357;AbbVie Inc.;7608600;Universita' Degli Studi di Cagliari
8685984;AbbVie Inc.;7608600;Universita' Degli Studi di Cagliari
8492386;AbbVie Inc.;7608600;Universita' Degli Studi di Cagliari
8993578;AbbVie Inc.;7608600;Universita' Degli Studi di Cagliari
8809265;AbbVie Inc.;7608600;Universita' Degli Studi di Cagliari
8466159;AbbVie Inc.;7608600;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7384924;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7163929;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;8343937;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7662798;Universita' Degli Studi di Cagliari
8853176;AbbVie Inc.;7608600;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7608597;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7101861;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7625875;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7148206;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7635689;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7192936;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7157441;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7105493;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7365057;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7824851;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7608600;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7169766;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7662798;Universita' Degli Studi di Cagliari
9452194;AbbVie Inc.;7608600;Universita' Degli Studi di Cagliari
8680048;AbbVie Inc.;7608600;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;8299038;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;7547704;Universita' Degli Studi di Cagliari
9676797;AbbVie Inc.;8674085;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7169766;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7608597;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7105493;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7625875;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7101861;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7157441;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7608600;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7148206;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;8343937;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;8674085;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7635689;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7824851;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7365057;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7163929;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7192936;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7547704;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;7384924;Universita' Degli Studi di Cagliari
10053474;AbbVie Inc.;8299038;Universita' Degli Studi di Cagliari
9924996;Ablacor Medical Corporation;5906591;Scuola Superiore Sant'Anna
9907603;Ablacor Medical Corporation;5906591;Scuola Superiore Sant'Anna
9924995;Ablacor Medical Corporation;5906591;Scuola Superiore Sant'Anna
8535304;Ablacor Medical Corporation;5906591;Scuola Superiore Sant'Anna
9554851;Ablacor Medical Corporation;5906591;Scuola Superiore Sant'Anna
9924997;Ablacor Medical Corporation;5906591;Scuola Superiore Sant'Anna
9924994;Ablacor Medical Corporation;5906591;Scuola Superiore Sant'Anna
9937208;ABT Holding Company;8268619;Universita' Degli Studi di Roma
9974811;ABT Holding Company;8268619;Universita' Degli Studi di Roma
9974810;ABT Holding Company;8268619;Universita' Degli Studi di Roma
9974809;ABT Holding Company;8268619;Universita' Degli Studi di Roma
9447132;Achillion Pharmaceuticals, Inc.;7456155;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7105493;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7169766;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7608600;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;8299038;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7384924;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7582618;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7157441;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7148206;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7192936;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7625875;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7635689;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7547704;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7163929;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;8343937;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7101861;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7608597;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7662798;Universita' Degli Studi di Cagliari
9447132;Achillion Pharmaceuticals, Inc.;7365057;Universita' Degli Studi di Cagliari
7780961;Actogenix N.V.;6685943;Universita' Degli Studi di Pavia
8524246;Actogenix N.V.;6685943;Universita' Degli Studi di Pavia
9458088;ACUCELA INC.;5314879;Ministero Dell' Universita' e Della Ricerca Scientifica Tecnologica
9737496;ACUCELA INC.;5314879;Ministero Dell' Universita' e Della Ricerca Scientifica Tecnologica
8828409;Adelaide Research & Innovation Pty Ltd;6685943;Universita' Degli Studi di Pavia
6161167;Advanced Micro Devices, Inc.;4907278;Ministero Dell' Universita' e Della Ricerca Scientifica Tecnologica
9637631;AFI Licensing LLC;6727342;Ministero Dell' Universita' e Della Ricerca Scientifica Tecnologica
9670145;AFINITICA TECHNOLOGIES, S. L.;7718821;Universita' Degli Studi di Parma
6326649;Agere Systems LLC;5682037;Universita' Degli Studi di Roma
6744261;Agilent Technologies, Inc.;5963161;Universita' Degli Studi di Roma
6111300;Agilent Technologies, Inc.;5557133;Universita' Degli Studi di Roma
5726136;AGIP Petroli;5370807             ;Ministero Dell' Universita' e Della Ricerca Scientifica Tecnologica
5726136;AGIP Petroli;5322632             ;Ministero Dell' Universita' e Della Ricerca Scientifica Tecnologica
9587216;Aglaris Cell S.L.;7790444;Universita' di Pisa
6399214;Agro Biomass Consult APS;5183837;Ministero Dell' Universita' e Della Ricerca Scientifica Tecnologica
6818768;Agrolinz Melamin GmbH;5153245;Ministero Dell' Universita' e Della Ricerca Scientifica Tecnologica
6818726;Agrolinz Melamin GmbH;5153245;Ministero Dell' Universita' e Della Ricerca Scientifica Tecnologica
9689440;Aishin AW Co., Ltd.;7351265;Universita' di Pisa
8911734;ALDERBIO HOLDINGS LLC;8296079;Scuola Internazionale Superiore Di Studi Avanzati
9783601;ALDERBIO HOLDINGS LLC;8296079;Scuola Internazionale Superiore Di Studi Avanzati
9067988;ALDERBIO HOLDINGS LLC;8296079;Scuola Internazionale Superiore Di Studi Avanzati
9539324;ALDERBIO HOLDINGS LLC;8296079;Scuola Internazionale Superiore Di Studi Avanzati
9078878;ALDERBIO HOLDINGS LLC;8296079;Scuola Internazionale Superiore Di Studi Avanzati
9884909;ALDERBIO HOLDINGS LLC;8296079;Scuola Internazionale Superiore Di Studi Avanzati
8728473;ALDERBIO HOLDINGS LLC;8296079;Scuola Internazionale Superiore Di Studi Avanzati
9718882;ALDERBIO HOLDINGS LLC;8296079;Scuola Internazionale Superiore Di Studi Avanzati
9499611;ALDERBIO HOLDINGS LLC;8296079;Scuola Internazionale Superiore Di Studi Avanzati
9738713;ALDERBIO HOLDINGS LLC;8296079;Scuola Internazionale Superiore Di Studi Avanzati
9783602;ALDERBIO HOLDINGS LLC;8296079;Scuola Internazionale Superiore Di Studi Avanzati
8871737;Alios BioPharma, Inc.;7608597;Universita' Degli Studi di Cagliari
8871737;Alios BioPharma, Inc.;7365057;Universita' Degli Studi di Cagliari
8871737;Alios BioPharma, Inc.;7547704;Universita' Degli Studi di Cagliari
8871737;Alios BioPharma, Inc.;7625875;Universita' Degli Studi di Cagliari
8871737;Alios BioPharma, Inc.;7157441;Universita' Degli Studi di Cagliari
8871737;Alios BioPharma, Inc.;7384924;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7582618;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7547704;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7625875;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7635689;Universita' Degli Studi di Cagliari
9249174;Alios BioPharma, Inc.;7608600;Universita' Degli Studi di Cagliari
9249174;Alios BioPharma, Inc.;7608597;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7101861;Universita' Degli Studi di Cagliari
9243022;Alios BioPharma, Inc.;7608600;Universita' Degli Studi di Cagliari
9243022;Alios BioPharma, Inc.;7608597;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7365057;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7608600;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7148206;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7608597;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7582618;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7547704;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7163929;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7157441;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7169766;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7192936;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7105493;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7384924;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7582618;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7101861;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7163929;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7384924;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7169766;Universita' Degli Studi di Cagliari
9278990;Alios BioPharma, Inc.;7625875;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7148206;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7547704;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7157441;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7635689;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7192936;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7608597;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7608600;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7105493;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7608600;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7105493;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7365057;Universita' Degli Studi di Cagliari
9012427;Alios BioPharma, Inc.;7625875;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7148206;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7635689;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7157441;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7384924;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7608597;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7163929;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7582618;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7625875;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7101861;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7192936;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7169766;Universita' Degli Studi di Cagliari
8980865;Alios BioPharma, Inc.;7365057;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7157441;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7547704;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7101861;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7635689;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7148206;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7192936;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7608597;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7608600;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7365057;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7163929;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7384924;Universita' Degli Studi di Cagliari
9394330;Alios BioPharma, Inc.;7169766;Universita' Degli Studi di Cagliari
