Math name;Math group;Math type;Folder;Math description;Parameter type;Parameter enable;Parameter name;Parameter kind;TAG name;Value;External unit;Internal unit;Formula
AD-IO-01;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is TRUE;Tag;PDT-P800/E;;mbarD;mbarD;
AD-IO-01;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is FALSE;Tag;PDT-P800/C;;mbarD;mbarD;
AD-IO-01;Generic;If then else;Inlet Flow;;Input;Enable;A0-X;Tag;PDT-P800/C;;mbarD;mbarD;
AD-IO-01;Generic;If then else;Inlet Flow;;Input;Enable;A0-Y;Constant;- No tag def -;7.5;;mbarD;
AD-IO-01;Generic;If then else;Inlet Flow;;Output;Enable;;Calc;AD-IO-01;NaN;mbarD;mbarD;
AD-IO-02;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is TRUE;Tag;PDT-P801/E;;mbarD;mbarD;
AD-IO-02;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is FALSE;Tag;PDT-P801/C;;mbarD;mbarD;
AD-IO-02;Generic;If then else;Inlet Flow;;Input;Enable;A0-X;Tag;PDT-P801/C;;mbarD;mbarD;
AD-IO-02;Generic;If then else;Inlet Flow;;Input;Enable;A0-Y;Constant;- No tag def -;7.5;;mbarD;
AD-IO-02;Generic;If then else;Inlet Flow;;Output;Enable;;Calc;AD-IO-02;NaN;mbarD;mbarD;
AD-IO-03;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is TRUE;Tag;PDT-P802/E;;mbarD;mbarD;
AD-IO-03;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is FALSE;Tag;PDT-P802/C;;mbarD;mbarD;
AD-IO-03;Generic;If then else;Inlet Flow;;Input;Enable;A0-X;Tag;PDT-P802/C;;mbarD;mbarD;
AD-IO-03;Generic;If then else;Inlet Flow;;Input;Enable;A0-Y;Constant;- No tag def -;7.5;;mbarD;
AD-IO-03;Generic;If then else;Inlet Flow;;Output;Enable;;Calc;AD-IO-03;NaN;mbarD;mbarD;
AD-IO-04;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is TRUE;Tag;PDT-P803/E;;mbarD;mbarD;
AD-IO-04;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is FALSE;Tag;PDT-P803/C;;mbarD;mbarD;
AD-IO-04;Generic;If then else;Inlet Flow;;Input;Enable;A0-X;Tag;PDT-P803/C;;mbarD;mbarD;
AD-IO-04;Generic;If then else;Inlet Flow;;Input;Enable;A0-Y;Constant;- No tag def -;7.5;;mbarD;
AD-IO-04;Generic;If then else;Inlet Flow;;Output;Enable;;Calc;AD-IO-04;NaN;mbarD;mbarD;
AD-IO-05;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is TRUE;Tag;PDT-P804/E;;mbarD;mbarD;
AD-IO-05;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is FALSE;Tag;PDT-P804/C;;mbarD;mbarD;
AD-IO-05;Generic;If then else;Inlet Flow;;Input;Enable;A0-X;Tag;PDT-P804/C;;mbarD;mbarD;
AD-IO-05;Generic;If then else;Inlet Flow;;Input;Enable;A0-Y;Constant;- No tag def -;7.5;;mbarD;
AD-IO-05;Generic;If then else;Inlet Flow;;Output;Enable;;Calc;AD-IO-05;NaN;mbarD;mbarD;
AD-IO-06;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is TRUE;Tag;PDT-P805/E;;mbarD;mbarD;
AD-IO-06;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is FALSE;Tag;PDT-P805/C;;mbarD;mbarD;
AD-IO-06;Generic;If then else;Inlet Flow;;Input;Enable;A0-X;Tag;PDT-P805/C;;mbarD;mbarD;
AD-IO-06;Generic;If then else;Inlet Flow;;Input;Enable;A0-Y;Constant;- No tag def -;7.5;;mbarD;
AD-IO-06;Generic;If then else;Inlet Flow;;Output;Enable;;Calc;AD-IO-06;NaN;mbarD;mbarD;
AD-IO-07;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is TRUE;Tag;PDT-P806/E;;mbarD;mbarD;
AD-IO-07;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is FALSE;Tag;PDT-P806/C;;mbarD;mbarD;
AD-IO-07;Generic;If then else;Inlet Flow;;Input;Enable;A0-X;Tag;PDT-P806/C;;mbarD;mbarD;
AD-IO-07;Generic;If then else;Inlet Flow;;Input;Enable;A0-Y;Constant;- No tag def -;7.5;;mbarD;
AD-IO-07;Generic;If then else;Inlet Flow;;Output;Enable;;Calc;AD-IO-07;NaN;mbarD;mbarD;
AD-IO-08;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is TRUE;Tag;PDT-P807/E;;mbarD;mbarD;
AD-IO-08;Generic;If then else;Inlet Flow;;Input;Enable;result if logic is FALSE;Tag;PDT-P807/C;;mbarD;mbarD;
AD-IO-08;Generic;If then else;Inlet Flow;;Input;Enable;A0-X;Tag;PDT-P807/C;;mbarD;mbarD;
